ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL E,1957,1937,1956,10,AFZ016842,Lorie,Tarshis,3
JEL E,1957,1937,1956,10,AFZ017100,Jan,Tinbergen,3
JEL E,1957,1937,1956,10,AFZ017126,James,Tobin,3
JEL E,1957,1937,1956,10,AFZ017249,Robert,Triffin,3
JEL E,1957,1937,1956,10,AFZ017962,Clark,Warburton,3
JEL E,1957,1937,1956,10,AFZ000845,Martin,Bailey,2
JEL E,1957,1937,1956,10,AFZ001147,William,Baumol,2
JEL E,1957,1937,1956,10,AFZ001888,Paul,Boschan,2
JEL E,1957,1937,1956,10,AFZ001927,Kenneth,Boulding,2
JEL E,1957,1937,1956,10,AFZ002065,Hans,Brems,2
JEL E,1957,1937,1956,10,AFZ002162,Cary,Brown,2
JEL E,1957,1937,1956,10,AFZ002265,E,Buckatzsch,2
JEL E,1957,1937,1956,10,AFZ003853,Gerard,Debreu,2
JEL E,1957,1937,1956,10,AFZ003954,J,Derksen,2
JEL E,1957,1937,1956,10,AFZ004305,John,Due,2
JEL E,1957,1937,1956,10,AFZ005499,Herbert,Furth,2
JEL E,1957,1937,1956,10,AFZ005680,Arthur,Gartaganis,2
JEL E,1957,1937,1956,10,AFZ006665,D,Hamberg,2
JEL E,1957,1937,1956,10,AFZ006667,William,Hamburger,2
JEL E,1957,1937,1956,10,AFZ008179,Homer,Jones,2
JEL E,1957,1937,1956,10,AFZ009786,Wassily,Leontief,2
JEL E,1957,1937,1956,10,AFZ010467,Friedrich,Lutz,2
JEL E,1957,1937,1956,10,AFZ010469,Vera,Lutz,2
JEL E,1957,1937,1956,10,AFZ011177,Roland,McKean,2
JEL E,1957,1937,1956,10,AFZ011489,Raymond,Mikesell,2
JEL E,1957,1937,1956,10,AFZ011819,James,Morgan,2
JEL E,1957,1937,1956,10,AFZ011881,Walter,Morton,2
JEL E,1957,1937,1956,10,AFZ014042,Albert,Rees,2
JEL E,1957,1937,1956,10,AFZ014274,Lawrence,Ritter,2
JEL E,1957,1937,1956,10,AFZ014470,Kenneth,Roose,2
JEL E,1957,1937,1956,10,AFZ014877,Paul,Samuelson,2
JEL E,1957,1937,1956,10,AFZ014976,John,Sargan,2
JEL E,1957,1937,1956,10,AFZ015322,Ira,Scott,2
JEL E,1957,1937,1956,10,AFZ015549,Eleanor,Shaw,2
JEL E,1957,1937,1956,10,AFZ016077,Robert,Solow,2
